Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
7.68,0.11,96.3,53.77,53.77
7.47,1.37,96.45,53.77,53.63
7.68,0.11,96.16,53.63,53.63
7.47,5.21,96.3,53.63,53.63
7.47,1.38,96.59,53.63,53.2
7.68,3.1,96.3,53.2,53.2
7.55,0.92,96.3,53.2,53.2
7.68,0.11,96.74,53.2,53.06
7.48,1.28,96.3,53.06,53.06
7.58,0.88,96.59,53.06,53.06
7.53,0.11,96.59,53.06,52.92
7.53,1.03,96.74,52.92,52.92
7.67,0.14,96.45,52.92,52.2
7.5,1.24,96.16,52.2,52.2
7.49,1.28,96.01,52.2,52.2
6.97,1.4,96.3,52.2,51.78
7.47,1.3,96.3,51.78,51.78
7.46,1.34,96.16,51.78,51.63
7.46,4.24,96.16,51.63,51.63
7.48,4.21,96.16,51.63,51.49
7.48,6.2,96.16,51.49,51.49
7.45,1.08,96.45,51.49,50.78
7.45,1.28,96.74,50.78,50.78
7.29,1.28,96.45,50.78,50.64
7.35,1.1,96.59,50.64,50.64
6.85,1.22,96.59,50.64,50.5
7.2,1.24,96.3,50.5,50.5
7.47,1.28,96.74,50.5,50.35
7.48,1.18,96.16,50.35,50.35
7.65,5.17,96.16,50.35,50.35
7.46,5.07,96.3,50.35,49.93
7.45,4.74,96.45,49.93,49.93
7.44,1.27,96.3,49.93,49.93
7.47,1.23,96.45,49.93,49.79
7.46,1.28,96.59,49.79,49.79
7.13,5.07,96.59,49.79,49.79
7.34,0.97,96.59,49.79,49.64
7.51,0.98,96.45,49.64,49.64
7.48,1.21,96.59,49.64,49.64
7.02,1.13,96.59,49.64,49.5
7.51,1.09,96.59,49.5,49.5
7.64,4.67,96.74,49.5,49.5
7.63,0.12,96.74,49.5,49.36
7.52,1.04,96.59,49.36,49.36
7.66,0.09,96.45,49.36,49.36
7.55,0.87,96.59,49.36,49.22
7.45,2.48,96.3,49.22,49.22
7.46,4.56,96.3,49.22,49.22
7.66,0.1,96.59,49.22,49.22
7.46,1.32,96.45,49.22,49.07
7.64,0.12,96.59,49.07,49.07
7.48,1.26,96.45,49.07,49.07
7.52,1.03,96.3,49.07,49.07
7.46,1.64,96.3,49.07,48.93
7.5,4.83,96.74,48.93,48.93
6.65,1.34,96.74,48.93,48.93
7.46,1.2,96.88,48.93,48.79
7.51,0.12,96.45,48.79,48.79
7.45,1.1,96.59,48.79,48.79
7.64,0.13,96.74,48.79,48.79
7.46,1.3,96.45,48.79,48.65
7.01,0.23,96.59,48.65,48.65
7.44,1.34,97.03,48.65,48.65
6.99,1.23,96.74,48.65,48.51
7.17,0.57,96.74,48.51,48.51
7.49,1.12,96.74,48.51,48.51
7.45,1.35,97.03,48.51,48.51
7.65,0.1,96.88,48.51,48.36
7.48,1.19,96.74,48.36,48.36
7.45,5.33,97.03,48.36,48.36
7.61,1.1,96.88,48.36,47.94
7.47,1.85,96.88,47.94,47.94
7.64,0.09,96.88,47.94,47.94
7.48,1.1,97.03,47.94,47.94
7.45,1.88,97.03,47.94,47.79
6.68,1.27,96.88,47.79,47.79
7.49,0.09,97.32,47.79,47.79
6.71,1.28,96.88,47.79,47.65
7.45,1.34,96.88,47.65,47.65
7.45,1.34,97.03,47.65,47.65
7.48,1.29,97.03,47.65,47.51
6.81,1.25,97.03,47.51,47.51
7.54,0.86,97.03,47.51,47.51
7.44,6.76,97.17,47.51,47.37
7.65,0.12,97.17,47.37,47.37
7.64,4.26,97.03,47.37,47.37
7.55,0.89,96.74,47.37,47.23
7.43,1.41,97.03,47.23,47.23
7.17,1.37,97.03,47.23,47.08
7.66,0.07,97.17,47.08,47.08
7.5,1.1,96.88,47.08,47.08
7.46,1.36,97.03,47.08,47.08
7.48,0.99,96.88,47.08,46.94
7.46,1.34,97.03,46.94,46.94
7.65,0.1,97.03,46.94,46.94
7.66,0.08,97.03,46.94,46.51
7.48,4.27,97.03,46.51,46.51
7.65,2.44,97.03,46.51,46.51
7.65,0.09,97.17,46.51,46.37
7.51,1.12,97.17,46.37,46.37
7.64,0.09,97.03,46.37,46.37
6.83,0.08,96.88,46.37,46.23
7.47,1.37,97.03,46.23,46.23
7.44,1.36,97.17,46.23,46.23
7.44,1.27,97.17,46.23,46.09
7.47,1.17,97.17,46.09,46.09
7.65,0.11,97.03,46.09,46.09
7.64,0.08,97.17,46.09,45.94
7.15,1.31,96.74,45.94,45.94
7.44,1.36,96.88,45.94,45.94
7.5,1.14,97.03,45.94,45.94
7.45,1.3,96.88,45.94,45.8
7.49,0.85,96.88,45.8,45.8
7.65,3.46,97.17,45.8,45.8
7.48,1.31,97.46,45.8,45.8
7.24,0.53,96.74,45.8,45.66
7.44,1.35,96.88,45.66,45.66
7.45,1.09,97.32,45.66,45.66
7.31,1.29,97.17,45.66,45.52
7.49,1.09,97.32,45.52,45.52
7.48,6.57,97.17,45.52,45.52
7.63,0.13,97.46,45.52,45.38
7.45,3.43,97.17,45.38,45.38
6.94,0.13,97.32,45.38,45.38
